Rank,Player,Team,2019-20,2020-21,2021-22,Signed Using,Guaranteed
536,anthony tolliver\tollian01,mem,144901.0,9384835.395415472,11534705.223300971,1st round pick,434704.0
537,joakim noah\noahjo01,lac,144901.0,9384835.395415472,11534705.223300971,1st round pick,434704.0
538,troy williams\willitr02,hou,122741.0,122741.0,122741.0,1st round pick,490964.0
539,johnathan williams\willijo04,was,106181.0,9384835.395415472,11534705.223300971,1st round pick,106181.0
540,tyler cook\cookty01,cle,101504.0,9384835.395415472,11534705.223300971,1st round pick,151504.0
541,donta hall\halldo01,det,101504.0,9384835.395415472,11534705.223300971,1st round pick,101504.0
542,donta hall\halldo01,brk,101504.0,9384835.395415472,11534705.223300971,minimum salary,101504.0
543,yante maten\matenya01,mia,100000.0,9384835.395415472,11534705.223300971,1st round pick,100000.0
544,jaylen adams\adamsja01,atl,100000.0,9384835.395415472,11534705.223300971,1st round pick,100000.0
545,justin anderson\anderju01,brk,98144.0,9384835.395415472,11534705.223300971,1st round pick,294432.0
546,demetrius jackson\jacksde01,bos,92857.0,92857.0,92857.0,1st round pick,464285.0
547,chasson randle\randlch01,gsw,91557.0,9384835.395415472,11534705.223300971,1st round pick,91557.0
548,jeremy pargo\pargoje01,gsw,91557.0,9384835.395415472,11534705.223300971,1st round pick,91557.0
549,jonah bolden\boldejo01,pho,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
550,josh magette\magetjo01,orl,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
551,jarrod uthoff\uthofja01,mem,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
552,dusty hannahs\hannadu01,mem,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
553,derrick walton\waltode01,det,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
554,sheldon mac\mcclesh01,cle,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
555,j.p. macura\macurjp01,cle,81678.0,9384835.395415472,11534705.223300971,1st round pick,81678.0
556,mychal mulder\muldemy01,gsw,50752.0,9384835.395415472,11534705.223300971,1st round pick,238534.0
557,eric mika\mikaer01,sac,50752.0,9384835.395415472,11534705.223300971,1st round pick,50752.0
558,zach norvell\norveza01,gsw,50752.0,9384835.395415472,11534705.223300971,1st round pick,50752.0
559,malik newman\newmama01,cle,50752.0,9384835.395415472,11534705.223300971,1st round pick,50752.0
560,marques bolden\boldema01,cle,50752.0,9384835.395415472,11534705.223300971,1st round pick,50752.0
561,sir'dominic pointer\pointsi01,cle,50752.0,9384835.395415472,11534705.223300971,1st round pick,50752.0
562,paul watson\watsopa01,atl,50752.0,9384835.395415472,11534705.223300971,1st round pick,50752.0
563,tyler cook\cookty01,cle,50000.0,9384835.395415472,11534705.223300971,1st round pick,151504.0
564,william howard\howarwi01,uta,50000.0,9384835.395415472,11534705.223300971,1st round pick,50000.0
565,isaiah taylor\taylois01,tor,50000.0,9384835.395415472,11534705.223300971,1st round pick,50000.0
566,tyler lydon\lydonty01,sac,50000.0,9384835.395415472,11534705.223300971,1st round pick,50000.0
567,hollis thompson\thompho01,sac,50000.0,9384835.395415472,11534705.223300971,1st round pick,50000.0
568,tyler ulis\ulisty01,sac,50000.0,9384835.395415472,11534705.223300971,1st round pick,50000.0
